ranking,name,opendate,output,output_percent,viewer,screen_num,count,nation,nation,make
1,택시운전사,2017-08-02,"95,853,645,649",10.60%,"12,186,327","1,906","184,075",한국,한국,(주)쇼박스
2,신과함께-죄와 벌,2017-12-20,"68,350,496,432",7.60%,"8,539,495","1,912","91,301",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,공조,2017-01-18,"63,783,051,326",7.10%,"7,817,618","1,392","142,989",한국,한국,씨제이이앤엠(주)
4,범죄도시,2017-10-03,"56,318,014,149",6.20%,"6,879,841","1,315","149,334",한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
5,군함도,2017-07-26,"50,510,565,168",5.60%,"6,592,151","2,027","108,775",한국,한국,씨제이이앤엠(주)
6,청년경찰,2017-08-09,"44,381,150,516",4.90%,"5,653,270","1,102","118,544",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
7,더 킹,2017-01-18,"43,488,814,535",4.80%,"5,317,693","1,310","107,983",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,꾼,2017-11-22,"31,312,029,795",3.50%,"4,018,035","1,314","117,398",한국,한국,(주)쇼박스
9,강철비,2017-12-14,"31,994,897,566",3.50%,"4,014,293","1,426","66,760",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
10,남한산성,2017-10-03,"31,225,083,792",3.50%,"3,849,087","1,229","71,101",한국,한국,씨제이이앤엠(주)
11,아이 캔 스피크,2017-09-21,"25,526,451,186",2.80%,"3,279,296","1,140","93,012",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
12,프리즌,2017-03-23,"23,790,276,987",2.60%,"2,931,897","1,047","89,024",한국,한국,(주)쇼박스
13,살인자의 기억법,2017-09-06,"21,375,287,492",2.40%,"2,658,589","1,064","88,686",한국,한국,(주)쇼박스
14,보안관,2017-05-03,"20,844,488,409",2.30%,"2,588,628","1,091","63,709",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
15,조작된 도시,2017-02-09,"20,143,992,587",2.20%,"2,515,501","1,019","62,241",한국,한국,씨제이이앤엠(주)
16,재심,2017-02-15,"19,266,319,637",2.10%,"2,421,197",935,"68,402",한국,한국,"오퍼스픽쳐스,CGV아트하우스"
17,박열,2017-06-28,"18,093,639,795",2.00%,"2,359,206","1,176","78,499",한국,한국,메가박스중앙(주)플러스엠
18,마스터,2016-12-21,"18,283,595,800",2.00%,"2,215,266","1,245","56,141",한국,한국,씨제이이앤엠(주)
19,1987,2017-12-27,"15,254,004,037",1.70%,"1,942,077","1,299","27,619",한국,한국,씨제이이앤엠(주)
20,노무현입니다,2017-05-25,"14,556,517,612",1.60%,"1,855,149",775,"61,327",한국,한국,"CGV아트하우스,영화사 풀"
21,임금님의 사건수첩,2017-04-26,"12,651,193,723",1.40%,"1,635,003","1,054","53,005",한국,한국,씨제이이앤엠(주)
22,부라더,2017-11-02,"11,783,109,998",1.30%,"1,492,903",889,"54,975",한국,한국,메가박스중앙(주)플러스엠
23,기억의 밤,2017-11-29,"10,646,654,660",1.20%,"1,386,611",759,"52,847",한국,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니"
24,브이아이피,2017-08-23,"10,956,621,835",1.20%,"1,373,316",996,"44,650",한국,한국,워너브러더스 코리아(주)
25,특별시민,2017-04-26,"10,494,768,945",1.20%,"1,362,634","1,154","46,377",한국,한국,(주)쇼박스
26,장산범,2017-08-17,"10,341,783,083",1.10%,"1,306,438",711,"34,768",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
27,악녀,2017-06-08,"9,739,662,144",1.10%,"1,208,081",685,"46,070",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
28,해빙,2017-03-01,"9,905,406,822",1.10%,"1,204,600",915,"46,227",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
29,하루,2017-06-15,"9,072,737,842",1.00%,"1,129,609",781,"45,808",한국,한국,CGV아트하우스
30,불한당: 나쁜 놈들의 세상,2017-05-17,"7,587,004,625",0.80%,"939,535",860,"37,913",한국,한국,씨제이이앤엠(주)
