ranking,name,opendate,output,output_percent,viewer,screen_num,count,nation,nation,make
1,부산행,2016-07-20,"93,178,283,048",10.00%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,검사외전,2016-02-03,"77,320,403,264",8.30%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스
3,밀정,2016-09-07,"61,269,783,831",6.60%,"7,500,420","1,444","138,161",한국,한국,워너브러더스 코리아(주)
4,터널,2016-08-10,"57,529,484,417",6.20%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스
5,인천상륙작전,2016-07-27,"55,101,410,303",5.90%,"7,049,643","1,049","97,019",한국,한국,씨제이이앤엠(주)
6,럭키,2016-10-13,"56,444,461,256",6.10%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스
7,곡성,2016-05-12,"55,863,520,382",6.00%,"6,879,908","1,485","130,322",한국,한국,이십세기폭스코리아(주)
8,덕혜옹주,2016-08-03,"44,393,828,109",4.80%,"5,599,229",964,"97,312",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,마스터,2016-12-21,"39,784,641,065",4.30%,"4,935,320","1,501","70,786",한국,한국,씨제이이앤엠(주)
10,판도라,2016-12-07,"33,955,398,164",3.70%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,아가씨,2016-06-01,"35,211,229,991",3.80%,"4,287,839","1,171","90,365",한국,한국,씨제이이앤엠(주)
12,귀향,2016-02-24,"27,249,738,990",2.90%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스
13,형,2016-11-23,"23,113,768,293",2.50%,"2,979,659",993,"83,518",한국,한국,씨제이이앤엠(주)
14,히말라야,2015-12-16,"20,705,587,567",2.20%,"2,630,352",955,"61,673",한국,한국,씨제이이앤엠(주)
15,아수라,2016-09-28,"20,576,226,662",2.20%,"2,594,028","1,278","68,040",한국,한국,씨제이이앤엠(주)
16,굿바이 싱글,2016-06-29,"16,912,706,195",1.80%,"2,108,273",841,"56,380",한국,한국,(주)쇼박스
17,봉이 김선달,2016-07-06,"16,227,052,642",1.70%,"2,051,277",942,"51,418",한국,한국,씨제이이앤엠(주)
18,내부자들: 디 오리지널,2015-12-31,"15,742,927,260",1.70%,"1,924,720",838,"45,697",한국,한국,(주)쇼박스
19,탐정 홍길동: 사라진 마을,2016-05-04,"11,516,170,845",1.20%,"1,430,885",764,"41,076",한국,한국,씨제이이앤엠(주)
20,특별수사: 사형수의 편지,2016-06-16,"9,929,947,065",1.10%,"1,241,899",691,"39,372",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,시간이탈자,2016-04-13,"9,731,838,195",1.00%,"1,202,384",733,"55,075",한국,한국,씨제이이앤엠(주)
22,동주,2016-02-17,"8,889,077,089",1.00%,"1,172,641",543,"39,958",한국,한국,메가박스중앙(주)플러스엠
23,미씽: 사라진 여자,2016-11-30,"8,881,616,256",1.00%,"1,153,109",790,"40,617",한국,한국,메가박스중앙(주)플러스엠
24,"당신, 거기 있어줄래요",2016-12-14,"8,999,085,248",1.00%,"1,124,815",767,"39,181",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
25,오빠생각,2016-01-21,"8,060,591,287",0.90%,"1,069,864",855,"44,801",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
26,"날, 보러와요",2016-04-07,"8,836,144,063",1.00%,"1,063,442",683,"49,237",한국,한국,메가박스중앙(주)플러스엠
27,"고산자, 대동여지도",2016-09-07,"7,801,007,258",0.80%,"974,262",765,"38,048",한국,한국,씨제이이앤엠(주)
28,좋아해줘,2016-02-17,"6,572,774,337",0.70%,"848,148",637,"27,125",한국,한국,씨제이이앤엠(주)
29,스플릿,2016-11-09,"6,102,712,539",0.70%,"758,195",702,"32,616",한국,한국,오퍼스픽쳐스
30,국가대표 2,2016-08-10,"5,482,232,042",0.60%,"709,929",562,"20,689",한국,한국,메가박스중앙(주)플러스엠
