ranking,name,code,opendate,week1_num,week2_num,week3_num
1,베테랑,115977,2015-08-05,6643738,2400249,1770109
2,암살,121048,2015-07-22,6572526,2401205,1677311
3,국제시장,102875,2014-12-17,4281603,3471300,1935900
4,내부자들,121788,2015-11-19,3589426,1361416,1007509
5,사도,121922,2015-09-16,3590519,1980480,442034
6,연평해전,102272,2015-06-24,3232441,1463341,888993
7,검은 사제들,120157,2015-11-05,3500982,947691,449159
8,히말라야,100647,2015-12-16,4220742,2157289,706607
9,조선명탐정 : 사라진 놉의 딸,123596,2015-02-11,3151668,526688,154542
10,스물,123277,2015-03-25,2202170,512666,249661
11,극비수사,122120,2015-06-18,2191691,438042,186796
12,탐정 : 더 비기닝,124201,2015-09-24,2004744,407983,158253
13,악의 연대기,122535,2015-05-14,1599073,442548,107300
14,강남 1970,103760,2015-01-21,1768957,312265,85699
15,뷰티 인사이드,129050,2015-08-20,1390849,400245,200275
16,오늘의 연애,74027,2015-01-14,1553055,248642,77313
17,쎄시봉,119966,2015-02-05,1091745,500101,101369
18,더 폰,134982,2015-10-22,1383739,179911,27233
19,대호,127496,2015-12-16,1416160,297776,39918
20,차이나타운,133131,2015-04-29,1223640,199453,43674
21,장수상회,120125,2015-04-09,793068,207009,79827
22,성난 변호사,129051,2015-10-08,952655,149222,22260
23,간신,120123,2015-05-21,881679,133421,67656
24,그놈이다,134960,2015-10-28,955705,75791,13722
25,미쓰 와이프,129406,2015-08-13,616614,232430,94545
26,허삼관,112268,2015-01-14,856294,83048,14864
27,"님아, 그 강을 건너지 마오",130013,2014-11-27,240881,816526,1342947
28,살인의뢰,122916,2015-03-12,780607,61675,7914
29,손님,122984,2015-07-09,798187,27896,1890
30,기술자들,117790,2014-12-24,2249423,257092,52807
,,,,,,
