ranking,name,code,opendate,week1_num,week2_num,week3_num
1,부산행,130966,2016-07-20,8412834,1629987,749498
2,검사외전,130903,2016-02-03,8083281,966019,416529
3,밀정,137952,2016-09-07,6049842,854163,388431
4,터널,141104,2016-08-10,5085521,1195025,662369
5,인천상륙작전,142822,2016-07-27,5245554,984565,532116
6,럭키,165795,2016-10-13,4341321,1297730,744936
7,곡성,121051,2016-05-12,4548698,1142173,612984
8,덕혜옹주,94767,2016-08-03,3550324,1282364,473633
9,마스터,145162,2016-12-21,5441619,1076481,513122
10,판도라,132933,2016-12-07,3113648,822265,465917
11,아가씨,123519,2016-06-01,3137421,573998,344806
12,귀향,167108,2016-02-24,2605628,536992,281744
13,형,142803,2016-11-23,2160082,525417,243806
15,굿바이 싱글,139700,2016-06-29,1732683,306271,64812
16,봉이 김선달,134895,2016-07-06,1803032,203330,37298
17,내부자들: 디 오리지널,147001,2015-12-31,1530102,321321,138074
18,탐정 홍길동: 사라진 마을,115504,2016-05-04,1205804,177631,40606
19,특별수사: 사형수의 편지,130720,2016-06-16,1002336,195861,39700
20,시간이탈자,124025,2016-04-13,944457,185770,61360
21,동주,134899,2016-02-17,620489,302073,113964
22,미씽: 사라진 여자,142625,2016-11-30,1049283,90252,13245
23,"당신, 거기 있어줄래요",145292,2016-12-14,995152,148293,23814
24,오빠생각,136686,2016-01-21,908986,74718,76399
25,"날, 보러와요",140718,2016-04-07,805874,186593,59092
26,"고산자, 대동여지도",133129,2016-09-07,852500,97063,19387
27,좋아해줘,136893,2016-02-17,743111,92593,9959
28,스플릿,146512,2016-11-09,670999,75693,10230
29,국가대표 2,141824,2016-08-10,645363,48925,13027
