ranking,name,code,opendate
1,베테랑,115977,2015-08-05
2,암살,121048,2015-07-22
3,국제시장,102875,2014-12-17
4,내부자들,121788,2015-11-19
5,사도,121922,2015-09-16
6,연평해전,102272,2015-06-24
7,검은 사제들,120157,2015-11-05
8,히말라야,100647,2015-12-16
9,조선명탐정 : 사라진 놉의 딸,123596,2015-02-11
10,스물,123277,2015-03-25
11,극비수사,122120,2015-06-18
12,탐정 : 더 비기닝,124201,2015-09-24
13,악의 연대기,122535,2015-05-14
14,강남 1970,103760,2015-01-21
15,뷰티 인사이드,129050,2015-08-20
16,오늘의 연애,74027,2015-01-14
17,쎄시봉,119966,2015-02-05
18,더 폰,134982,2015-10-22
19,대호,127496,2015-12-16
20,차이나타운,133131,2015-04-29
21,장수상회,120125,2015-04-09
22,성난 변호사,129051,2015-10-08
23,간신,120123,2015-05-21
24,그놈이다,134960,2015-10-28
25,미쓰 와이프,129406,2015-08-13
26,허삼관,112268,2015-01-14
27,"님아, 그 강을 건너지 마오",130013,2014-11-27
28,살인의뢰,122916,2015-03-12
29,손님,122984,2015-07-09
30,기술자들,117790,2014-12-24
