ranking,name,code,opendate
1,택시운전사,146469,2017-08-02
2,신과함께-죄와 벌,85579,2017-12-20
3,공조,142384,2017-01-18
4,범죄도시,161242,2017-10-03
5,군함도,146506,2017-07-26
6,청년경찰,153652,2017-08-09
7,더 킹,172748,2017-01-18
8,꾼,152385,2017-11-22
9,강철비,155665,2017-12-14
10,남한산성,150637,2017-10-03
11,아이 캔 스피크,161850,2017-09-21
12,프리즌,146517,2017-03-23
13,살인자의 기억법,137890,2017-09-06
14,보안관,146524,2017-05-03
15,조작된 도시,127382,2017-02-09
16,재심,149512,2017-02-15
17,박열,155716,2017-06-28
18,마스터,145162,2016-12-21
19,1987,158191,2017-12-27
20,노무현입니다,162173,2017-05-25
21,임금님의 사건수첩,144280,2017-04-26
22,부라더,160749,2017-11-02
23,기억의 밤,160399,2017-11-29
24,브이아이피,152170,2017-08-23
25,특별시민,146485,2017-04-26
26,장산범,137696,2017-08-17
27,악녀,155256,2017-06-08
28,해빙,137875,2017-03-01
29,하루,152168,2017-06-15
30,불한당: 나쁜 놈들의 세상,154112,2017-05-17
